13	14.59	2249
14.43	15.99	2233
15.84	17.37	2216
17.22	18.73	2197
18.58	20.06	2178
19.92	21.37	2157
21.23	22.65	2136
22.51	23.9	2518
23.76	25.12	2291
24.99	26.31	2266
26.18	27.48	2240
27.35	28.61	2214
28.49	29.72	2187
29.6	30.79	2160
30.68	31.84	2114
31.73	32.86	2289
32.75	33.85	2101
33.74	34.81	2229
34.71	35.75	2199
35.64	36.65	2170
36.55	37.53	2133
37.44	38.39	2280
38.29	39.22	2249
39.13	40.02	2218
39.93	40.8	2187
40.71	41.55	2157
41.47	42.29	2285
42.21	42.99	2253
42.92	43.68	2222
43.61	44.35	2191
44.28	45	2161
44.93	45.62	2278
45.55	46.23	2246
46.16	46.82	2216
46.75	47.39	2185
47.32	47.94	2156
47.88	48.47	2264
48.42	48.99	2233
48.94	49.49	2204
49.44	49.98	2174
49.93	50.45	2140
50.4	50.91	2245
50.86	51.36	2216
51.31	51.79	2187
51.74	52.2	2159
52.16	52.61	2253
